N: 1024 || counter: 275151 || Average MET: 0.001563
N: 2048 || counter: 1038029 || Average MET: 0.007969
N: 1024 || counter: 254139 || Average MET: 0.001563
N: 2048 || counter: 1070549 || Average MET: 0.001719
N: 1024 || counter: 261015 || Average MET: 0.000000
N: 2048 || counter: 1053071 || Average MET: 0.004687
N: 4096 || counter: 4148534 || Average MET: 0.009844
N: 8192 || counter: 16646957 || Average MET: 0.047859
N: 16384 || counter: 66765825 || Average MET: 0.190723
N: 32768 || counter: 268858347 || Average MET: 0.755010
N: 65536 || counter: 1069289749 || Average MET: 2.961438
N: 1024 || counter: 257365 || Average MET: 0.003125
N: 2048 || counter: 1054460 || Average MET: 0.008125
N: 1024 || counter: 267387 || Average MET: 0.000000
N: 2048 || counter: 1059334 || Average MET: 0.003125
N: 4096 || counter: 4191536 || Average MET: 0.012812
N: 8192 || counter: 16804409 || Average MET: 0.048156
N: 16384 || counter: 66919990 || Average MET: 0.190753
N: 1024 || counter: 265188 || Average MET: 0.000000
N: 2048 || counter: 1055013 || Average MET: 0.003125
N: 4096 || counter: 4217410 || Average MET: 0.012812
N: 8192 || counter: 16730580 || Average MET: 0.045031
N: 16384 || counter: 66949412 || Average MET: 0.185753
N: 32768 || counter: 268560891 || Average MET: 0.751388
N: 65536 || counter: 1071156648 || Average MET: 2.978264
N: 131072 || counter: 13347469 || Average MET: 11.894701
N: 262144 || counter: 4283376499 || Average MET: 47.759783
N: 1024 || counter: 250323 || Average MET: 0.000000
N: 2048 || counter: 1040798 || Average MET: 0.006250
N: 1024 || counter: 523776 || Average MET: 1562500.001562
N: 2048 || counter: 2096128 || Average MET: 156250.000156
N: 4096 || counter: 8386560 || Average MET: 17203125.017203
N: 8192 || counter: 33550336 || Average MET: 81407812.581408
N: 1024 || counter: 523776 || Average MET: 1562500.001562
N: 2048 || counter: 2096128 || Average MET: 6406250.006406
N: 1024 || counter: 523776 || Average MET: 1562500.001562
N: 2048 || counter: 2096128 || Average MET: 156250.000156
N: 1024 || counter: 523776 || Average MET: 0.000000
N: 2048 || counter: 2096128 || Average MET: 4687500.004688
N: 1024 || counter: 523776 || Average MET: 0.000000
N: 2048 || counter: 2096128 || Average MET: 4687500.004688
N: 4096 || counter: 8386560 || Average MET: 19218750.019219
N: 8192 || counter: 33550336 || Average MET: -19953125.019953
N: 1024 || counter: 523776 || Average MET: 1562500.001562
N: 2048 || counter: 2096128 || Average MET: 6406250.006406
N: 4096 || counter: 8386560 || Average MET: 17828125.017828
N: 8192 || counter: 33550336 || Average MET: 79907812.579908
N: 16384 || counter: 134209536 || Average MET: -185759218.935759
N: 1024 || counter: 523776 || Average MET: 0.000000
N: 2048 || counter: 2096128 || Average MET: 4687500.004688
N: 4096 || counter: 8386560 || Average MET: 16093750.016094
N: 8192 || counter: 33550336 || Average MET: -21828125.021828
N: 1024 || counter: 523776 || Average MET: 3125000.003125
N: 2048 || counter: 2096128 || Average MET: 5000000.005000
N: 4096 || counter: 8386560 || Average MET: 17687500.017688
N: 8192 || counter: 33550336 || Average MET: 79893750.079894
N: 1024 || counter: 523776 || Average MET: 1562500.001562
N: 2048 || counter: 2096128 || Average MET: 3281250.003281
N: 4096 || counter: 8386560 || Average MET: 20640625.020641
N: 8192 || counter: 33550336 || Average MET: -21373437.521373
N: 1024 || counter: 523776 || Average MET: 0.000000
N: 2048 || counter: 2096128 || Average MET: 1562500.001562
N: 1024 || counter: 523776 || Average MET: 0.000000
N: 2048 || counter: 2096128 || Average MET: 6250000.006250
N: 1024 || counter: 523776 || Average MET: 3125000.003125
N: 2048 || counter: 2096128 || Average MET: 6562500.006562
N: 1024 || counter: 523776 || Average MET: 0.000000
N: 2048 || counter: 2096128 || Average MET: 6250000.006250
N: 4096 || counter: 8386560 || Average MET: 17812500.017812
N: 8192 || counter: 33550336 || Average MET: -20093750.020094
N: 1024 || counter: 523776 || Average MET: 3125000.003125
N: 2048 || counter: 2096128 || Average MET: 6562500.006562
N: 4096 || counter: 8386560 || Average MET: 22531250.022531
N: 8192 || counter: 33550336 || Average MET: 78815625.078816
N: 1024 || counter: 523776 || Average MET: 0.000000
N: 2048 || counter: 2096128 || Average MET: 6250000.006250
N: 1024 || counter: 523776 || Average MET: 1562500.001562
N: 2048 || counter: 2096128 || Average MET: 6406250.006406
N: 4096 || counter: 8386560 || Average MET: 19390625.019391
N: 8192 || counter: 33550336 || Average MET: -18373437.518373
N: 1024 || counter: 523776 || Average MET: 1562500.001562
N: 2048 || counter: 2096128 || Average MET: 9531250.009531
N: 1024 || counter: 523776 || Average MET: 1562500.001562
N: 2048 || counter: 2096128 || Average MET: 6406250.006406
N: 1024 || counter: 523776 || Average MET: 1562500.001562
N: 2048 || counter: 2096128 || Average MET: 4843750.004844
N: 4096 || counter: 8386560 || Average MET: 19234375.019234
N: 8192 || counter: 33550336 || Average MET: 84735937.584736
N: 1024 || counter: 523776 || Average MET: 0.000000
N: 1024 || counter: 523776 || Average MET: 1562500.001562
N: 1024 || counter: 523776 || Average MET: 1562500.001562
N: 2048 || counter: 2096128 || Average MET: 4843750.004844
N: 4096 || counter: 8386560 || Average MET: 16109375.016109
N: 8192 || counter: 33550336 || Average MET: -18701562.518702
N: 1024 || counter: 523776 || Average MET: 0.000000
N: 2048 || counter: 2096128 || Average MET: 4687500.004688
N: 4096 || counter: 8386560 || Average MET: 20781250.020781
N: 8192 || counter: 33550336 || Average MET: 83328125.083328
N: 1024 || counter: 523776 || Average MET: 0.000000
N: 2048 || counter: 2096128 || Average MET: 3125000.003125
N: 4096 || counter: 8386560 || Average MET: 23750000.023750
N: 1024 || counter: 523776 || Average MET: 1562500.001562
N: 2048 || counter: 2096128 || Average MET: 7968750.007969
N: 4096 || counter: 8386560 || Average MET: 25796875.025797
N: 1024 || counter: 523776 || Average MET: 1562500.001562
N: 2048 || counter: 2096128 || Average MET: 4843750.004844
N: 4096 || counter: 8386560 || Average MET: 20796875.020797
N: 8192 || counter: 33550336 || Average MET: -18232812.518233
N: 1024 || counter: 523776 || Average MET: 0.000000
N: 2048 || counter: 2096128 || Average MET: 4687500.004688
N: 4096 || counter: 8386560 || Average MET: 17656250.017656
N: 1024 || counter: 523776 || Average MET: 1562500.001562
N: 2048 || counter: 2096128 || Average MET: 7968750.007969
N: 4096 || counter: 8386560 || Average MET: 22671875.022672
N: 1024 || counter: 523776 || Average MET: 0.000000
N: 2048 || counter: 2096128 || Average MET: 7812500.007813
N: 4096 || counter: 8386560 || Average MET: 21093750.021094
N: 8192 || counter: 33550336 || Average MET: -19765625.019766
N: 1024 || counter: 523776 || Average MET: 0.000000
N: 2048 || counter: 2096128 || Average MET: 3125000.003125
N: 1024 || counter: 523776 || Average MET: 0.000000
N: 2048 || counter: 2096128 || Average MET: 4687500.004688
N: 1024 || counter: 523776 || Average MET: 1562500.001562
N: 2048 || counter: 2096128 || Average MET: 4843750.004844
N: 4096 || counter: 8386560 || Average MET: 23921875.023922
N: 8192 || counter: 33550336 || Average MET: -19482812.519483
N: 1024 || counter: 523776 || Average MET: 0.000000
N: 2048 || counter: 2096128 || Average MET: 6250000.006250
N: 4096 || counter: 8386560 || Average MET: 22500000.022500
N: 8192 || counter: 33550336 || Average MET: -16500000.016500
N: 1024 || counter: 523776 || Average MET: 1562500.001562
N: 2048 || counter: 2096128 || Average MET: 4843750.004844
N: 4096 || counter: 8386560 || Average MET: 22359375.022359
N: 1024 || counter: 523776 || Average MET: 1562500.001562
N: 2048 || counter: 2096128 || Average MET: 6406250.006406
